Species	Acetate Binary Phenotype	Formate Binary Phenotype	L-Lactate Binary Phenotype	D-Lactate Binary Phenotype
Lactobacillus gasseri	1	0	1	1
Lactobacillus gastricus	1	0	1	1
Lactobacillus iners	1	0	1	0
Lactobacillus jensenii	1	0	1	1
Lactobacillus johnsonii	1	0	1	1
Lactobacillus mucosae	1	0	1	1
Lactobacillus pentosus	1	1	1	1
Lactobacillus plantarum	1	1	1	1
Lactobacillus reuteri	1	0	1	1
Lactobacillus rhamnosus	1	1	1	1
Lactobacillus ruminis	1	1	1	1
Lactobacillus sakei	1	1	1	0
Lactobacillus salivarius	1	1	1	1
Lactococcus garvieae	1	1	1	0
Lactococcus lactis	1	1	1	0
Leptotrichia goodfellowii	1	1	0	1
Leuconostoc mesenteroides	1	0	1	1
Listeria monocytogenes	1	1	1	0
Lutispora thermophila	0	0	1	0
Lysinibacillus fusiformis	0	0	0	0
Megamonas hypermegale	0	1	1	0
Megasphaera elsdenii	1	0	1	0
Micrococcus luteus	1	0	1	0
Mobiluncus curtisii	1	1	0	0
Mobiluncus mulieris	1	1	1	0
Morganella morganii	1	1	0	1
Mycoplasma pneumoniae	1	0	1	0
Myroides odoratimimus	0	0	0	1
Neisseria sicca	1	1	1	1
Neisseria subflava	1	1	0	1
Nevskia ramosa	0	0	0	0
Ochrobactrum anthropi	1	0	0	0
Odoribacter laneus	1	1	0	1
Oscillibacter ruminantium	1	0	1	1
Oxalobacter formigenes	0	0	0	0
Pantoea agglomerans	1	1	0	1
Parabacteroides distasonis	1	1	0	1
Parabacteroides goldsteinii	1	1	0	1
Parabacteroides gordonii	1	1	0	1
Parabacteroides johnsonii	1	1	0	1
Parabacteroides merdae	1	1	0	1
Parapedobacter koreensis	0	0	0	1
Paraprevotella clara	1	1	0	0
Paraprevotella xylaniphila	1	1	0	0
Parasutterella excrementihominis	0	0	1	0
Parvimonas micra	1	1	0	0
Pediococcus acidilactici	1	0	1	1
Pediococcus pentosaceus	1	0	1	1
Peptococcus niger	1	1	0	0
Peptoniphilus asaccharolyticus	1	1	0	0
Peptoniphilus harei	1	0	1	0
Peptoniphilus indolicus	1	0	0	1
Peptoniphilus lacrimalis	1	0	1	0
Peptostreptococcus anaerobius	1	1	0	1
Phascolarctobacterium faecium	0	1	1	0
Phascolarctobacterium succinatutens	0	0	1	0
Porphyromonas asaccharolytica	1	0	0	0
Porphyromonas gingivalis	1	0	0	0
