Species	Pathway Variant	Binary Phenotype
Proteus mirabilis	-1	0
Proteus vulgaris	-1	0
Providencia rettgeri	-1	0
Providencia stuartii	-1	0
Pseudobutyrivibrio ruminis	-1	0
Pseudoflavonifractor capillosus	-1	0
Pseudomonas aeruginosa	-1	0
Pseudomonas fluorescens	-1	0
Pseudomonas stutzeri	-1	0
Rhodococcus erythropolis	-1	0
Roseburia hominis	-1	0
Roseburia intestinalis	-1	0
Rothia dentocariosa	-1	0
Rothia mucilaginosa	-1	0
Rudanella lutea	-1	0
Ruminococcus albus	-1	0
Ruminococcus bromii	-1	0
Ruminococcus gauvreauii	-1	0
Ruminococcus champanellensis	-1	0
[Ruminococcus] torques	-1	0
Scardovia inopinata	-1	0
Schlesneria paludicola	-1	0
Serratia fonticola	-1	0
Silanimonas lenta	-1	0
Slackia piriformis	-1	0
Spirosoma linguale	-1	0
Staphylococcus aureus	-1	0
Staphylococcus capitis	-1	0
Staphylococcus epidermidis	-1	0
Staphylococcus hominis	-1	0
Staphylococcus intermedius	-1	0
Staphylococcus lugdunensis	-1	0
Staphylococcus simulans	-1	0
Staphylococcus xylosus	-1	0
Streptococcus agalactiae	-1	0
Streptococcus anginosus	-1	0
Streptococcus constellatus	-1	0
Streptococcus dysgalactiae	-1	0
Streptococcus gallolyticus	-1	0
Streptococcus infantis	-1	0
Streptococcus intermedius	-1	0
Streptococcus mitis	-1	0
Streptococcus mutans	-1	0
Streptococcus parasanguinis	-1	0
Streptococcus pasteurianus	-1	0
Streptococcus pneumoniae	-1	0
Streptococcus pyogenes	-1	0
Streptococcus salivarius	-1	0
Streptococcus sanguinis	-1	0
Streptococcus thermophilus	-1	0
Streptococcus vestibularis	-1	0
Subdoligranulum variabile	-1	0
Sutterella parvirubra	-1	0
Sutterella wadsworthensis	-1	0
Tropheryma whipplei	-1	0
-	-1	0
Ureaplasma urealyticum	-1	0
Varibaculum cambriense	-1	0
Vibrio furnissii	-1	0
Victivallis vadensis	-1	0
Weissella cibaria	-1	0
Weissella koreensis	-1	0
Akkermansia muciniphila	P1	1
Alistipes onderdonkii	P1	1
Alistipes putredinis	P1	1
Bacillus endophyticus	P1	1
Bacillus infantis	P1	1
Bacillus megaterium	P1	1
Alistipes obesi	P1	1
Bacteroides caccae	P1	1
Bacteroides cellulosilyticus	P1	1
Bacteroides coprocola	P1	1
Bacteroides coprophilus	P1	1
Bacteroides dorei	P1	1
Bacteroides eggerthii	P1	1
Bacteroides faecis	P1	1
Bacteroides finegoldii	P1	1
Bacteroides fragilis	P1	1
Bacteroides intestinalis	P1	1
Bacteroides nordii	P1	1
Bacteroides ovatus	P1	1
Bacteroides plebeius	P1	1
Bacteroides propionicifaciens	P1	1
Bacteroides pyogenes	P1	1
Bacteroides salanitronis	P1	1
Bacteroides salyersiae	P1	1
Bacteroides sartorii	P1	1
Bacteroides stercoris	P1	1
Bacteroides thetaiotaomicron	P1	1
Bacteroides uniformis	P1	1
Bacteroides vulgatus	P1	1
Bacteroides xylanisolvens	P1	1
Barnesiella intestinihominis	P1	1
Brevibacillus brevis	P1	1
Butyricimonas synergistica	P1	1
Dialister invisus	P1	1
Escherichia coli	P1	1
Lutispora thermophila	P1	1
