Species	Pathway Variant	Binary Phenotype
Gordonia rubripertincta	-1	0
Granulicatella adiacens	-1	0
Haemophilus aegyptius	-1	0
Haemophilus influenzae	-1	0
Haemophilus parainfluenzae	-1	0
Hafnia alvei	-1	0
Helicobacter bilis	-1	0
Helicobacter canadensis	-1	0
Helicobacter pylori	-1	0
Holdemania filiformis	-1	0
Intestinimonas butyriciproducens	P124 	1
Kingella oralis	-1	0
Klebsiella michiganensis	-1	0
Klebsiella pneumoniae	-1	0
Kocuria palustris	-1	0
Kytococcus sedentarius	-1	0
Lachnobacterium bovis	P1 	1
Lachnospira pectinoschiza	-1	0
Lactobacillus acidophilus	-1	0
Lactobacillus amylolyticus	-1	0
Lactobacillus antri	-1	0
Lactobacillus brevis	-1	0
Lactobacillus buchneri	-1	0
Lactobacillus paracasei	-1	0
Lactobacillus casei	-1	0
Lactobacillus crispatus	-1	0
Lactobacillus delbrueckii	-1	0
Lactobacillus fermentum	-1	0
Lactobacillus gasseri	-1	0
Lactobacillus gastricus	-1	0
Lactobacillus iners	-1	0
Lactobacillus jensenii	-1	0
Lactobacillus johnsonii	-1	0
Lactobacillus mucosae	-1	0
Lactobacillus pentosus	-1	0
Lactobacillus plantarum	-1	0
Lactobacillus reuteri	-1	0
Lactobacillus rhamnosus	-1	0
Lactobacillus ruminis	-1	0
Lactobacillus sakei	-1	0
Lactobacillus salivarius	-1	0
Lactococcus garvieae	-1	0
Lactococcus lactis	-1	0
Leptotrichia goodfellowii	-1	0
Leuconostoc mesenteroides	-1	0
Listeria monocytogenes	-1	0
Lutispora thermophila	P14 	1
Lysinibacillus fusiformis	-1	0
Megamonas hypermegale	-1	0
Megasphaera elsdenii	P12 	1
Micrococcus luteus	-1	0
Mobiluncus curtisii	-1	0
Mobiluncus mulieris	-1	0
Morganella morganii	-1	0
Mycoplasma pneumoniae	-1	0
Myroides odoratimimus	-1	0
Neisseria sicca	-1	0
Neisseria subflava	-1	0
Nevskia ramosa	-1	0
Ochrobactrum anthropi	-1	0
Odoribacter laneus	P14 	1
Oscillibacter ruminantium	P13 	1
Oxalobacter formigenes	-1	0
Pantoea agglomerans	-1	0
Parabacteroides distasonis	-1	0
Parabacteroides goldsteinii	-1	0
Parabacteroides gordonii	-1	0
Parabacteroides johnsonii	-1	0
Parabacteroides merdae	-1	0
Parapedobacter koreensis	-1	0
Paraprevotella clara	-1	0
Paraprevotella xylaniphila	-1	0
Parasutterella excrementihominis	-1	0
Parvimonas micra	-1	0
Pediococcus acidilactici	-1	0
Pediococcus pentosaceus	-1	0
Peptococcus niger	P1 	1
Peptoniphilus asaccharolyticus	P13 	1
Peptoniphilus harei	P13 	1
Peptoniphilus indolicus	P13 	1
Peptoniphilus lacrimalis	P13 	1
Peptostreptococcus anaerobius	-1	0
Phascolarctobacterium faecium	-1	0
Phascolarctobacterium succinatutens	-1	0
Porphyromonas asaccharolytica	P124 	1
Porphyromonas gingivalis	P14 	1
Prevotella albensis	-1	0
Prevotella bivia	-1	0
Prevotella buccae	-1	0
Prevotella copri	-1	0
Prevotella corporis	-1	0
Prevotella denticola	-1	0
Prevotella disiens	-1	0
Prevotella intermedia	-1	0
Prevotella melaninogenica	-1	0
Prevotella nanceiensis	-1	0
Prevotella nigrescens	-1	0
Prevotella oulorum	-1	0
Prevotella pallens	-1	0
Prevotella salivae	-1	0
Prevotella stercorea	-1	0
Alloprevotella tannerae	-1	0
Prevotella timonensis	-1	0
Prevotella veroralis	-1	0
Cutibacterium acnes	-1	0
Proteus mirabilis	-1	0
Proteus vulgaris	-1	0
Providencia rettgeri	-1	0
Providencia stuartii	-1	0
Pseudobutyrivibrio ruminis	P1 	1
Pseudoflavonifractor capillosus	-1	0
Pseudomonas aeruginosa	-1	0
Pseudomonas fluorescens	-1	0
Pseudomonas stutzeri	-1	0
Pyramidobacter piscolens	-1	0
Rhodococcus erythropolis	-1	0
Roseburia hominis	P1 	1
Roseburia intestinalis	P1 	1
Roseburia inulinivorans	P1 	1
Rothia dentocariosa	-1	0
Rothia mucilaginosa	-1	0
Rudanella lutea	-1	0
Ruminococcus albus	-1	0
Ruminococcus bromii	-1	0
Ruminococcus gauvreauii	P1 	1
[Ruminococcus] gnavus	-1	0
Blautia obeum	-1	0
Ruminococcus champanellensis	-1	0
[Ruminococcus] torques	-1	0
Salmonella enterica	-1	0
Scardovia inopinata	-1	0
Schlesneria paludicola	-1	0
Selenomonas sputigena	-1	0
Serratia fonticola	-1	0
Silanimonas lenta	-1	0
Slackia piriformis	-1	0
Spirosoma linguale	-1	0
Staphylococcus aureus	-1	0
Staphylococcus capitis	-1	0
Staphylococcus epidermidis	-1	0
Staphylococcus hominis	-1	0
Staphylococcus intermedius	-1	0
Staphylococcus lugdunensis	-1	0
Staphylococcus simulans	-1	0
Staphylococcus xylosus	-1	0
Streptococcus agalactiae	-1	0
Streptococcus anginosus	P1 	1
Streptococcus constellatus	P1 	1
Streptococcus dysgalactiae	-1	0
Streptococcus gallolyticus	-1	0
Streptococcus infantis	-1	0
Streptococcus intermedius	-1	0
Streptococcus mitis	P1 	1
Streptococcus mutans	-1	0
Streptococcus parasanguinis	-1	0
Streptococcus pasteurianus	-1	0
Streptococcus pneumoniae	-1	0
Streptococcus pyogenes	-1	0
Streptococcus salivarius	-1	0
Streptococcus sanguinis	-1	0
Streptococcus thermophilus	-1	0
Streptococcus vestibularis	-1	0
Subdoligranulum variabile	P1 	1
Sutterella parvirubra	-1	0
Sutterella wadsworthensis	-1	0
-	-1	0
Tannerella forsythia	P2 	1
Tropheryma whipplei	-1	0
-	-1	0
Ureaplasma urealyticum	-1	0
Varibaculum cambriense	-1	0
Veillonella atypica	-1	0
Veillonella dispar	-1	0
Veillonella parvula	-1	0
Veillonella seminalis	-1	0
Vibrio furnissii	-1	0
Victivallis vadensis	-1	0
Weissella cibaria	-1	0
Weissella koreensis	-1	0
Yersinia enterocolitica	-1	0
Yokenella regensburgei	-1	0
